Custom field (Actual Effort),Assignee,Custom field (Chapter),Component/s,Component/s,Component/s,Custom field (Confidence Level),Custom field (Deployment Date),Description,Due Date,Custom field (Environment),Custom field (Environment(s)),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimation),Custom field (Feature Points),Custom field (Is there a workaround?),Issue Type,Labels,Labels,Labels,Custom field (Lead),Inward issue link (Depends),Outward issue link (Depends),Inward issue link (Duplicate),Inward issue link (Relates),Custom field (Next Supply Quantity),Custom field (Objective),Original Estimate,Custom field (Owner),Custom field (Parent Link),Custom field (Planned Effort),Custom field (Planned End Date),Custom field (Planned Start Date),Priority,Project key,Project name,Project type,Project lead,Project description,Project url,Remaining Estimate,Reporter,Custom field (Requirement Critical),Custom field (Requirement Design and Configuration Doc Link),Custom field (Requirement No.),Custom field (Requirement SOP Doc Link),Custom field (Requirement Category),Security Level,Custom field (Short Name),Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Story Points),Summary,Custom field (Target end),Custom field (Target start),Custom field (Tech & UX Notes),Custom field (WSJF),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Why are we doing it?),Custom field (Work Complete (Current Sprint)),Custom field (Work Complete (Total)),Custom field (syncProxyAssociation),Resolution,Custom field (Resolution),Custom field (Resolution)
,mooreem,,,,,,,"_Screen recording attached._

The menu to change a text block from a Heading to a Paragraph or visa versa closes before a selection can be made.",,,,GBLDEV-176,,,,,,Bug,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,davdarro,,,,,,,,,,,,,,"WP Block Editor | Menu to change block disappears before selection can be made",,,,,davdarro,,,,,,,,,
,jackje,,,,,,,"Hey [~jackje] - 

Can you please help scope adding the Inpsyde Tealium, GTM, and Taxonomy plugin to the environments you control? The data/analytics team wants the flexibility so they can switch over more sites to GTM from Tealium (particularly for new sites). They also want everything standardized. Can we support that for new sites? Then we'll need separate discovery on transitioning existing sites to the new plugins. 

I know that a lot of the corporate sites have been released to markets, so not sure where we can fit this into the process. We'll definitely want to get the new plugins part of the process for Vivid 360 sites prior to migration. 

Can you please help assess this level of effort?

Thank you!!!!

CC [~mooreem]",,,,GBLDEV-431,,,,,,Task,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,spekathe,,,,,,,,,,,,,,Scope adding new analytics plugins to Vertex-managed environments ,,,,,spekathe,,,,,,,,,
,jackje,,,,,,,"Hey [~jackje] and [~mooreem],

We need to standardize our Brightcove implementation on the Inpsyde Brightcove plugin.

Per our previous discussions it doesn't sound like there are many videos on the corporate site that use Brightcove currently (possibly outside some of the corporate country sites).

Next steps:
* Audit corporate sites for Brightcove videos
* Add Inpsyde Brightcove Plugin to Corporate repos (merck/merck2)
* Update Corporateberg Video block
* Adjust styling to align with Corporate Design System (if necessary)
* Vivid360 - Use Inpsyde Brightcove plugin instead of developing Vivid360 Brightcove module (see [this ticket|https://issues.merck.com/browse/GBLDEV-275]).

Please let us know if you have any questions. 

cc: [~Linaults], [~spekathe], [~sharami9]",,,,,Standardize on Inpsyde Brightcove Plugin,To Do,,,,Epic,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,yoch,,,,,,,,,,,,,,Standardize on Inpsyde Brightcove Plugin,,,,,jackje,vulina,yoch,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,"Pills (possibility of deferral to next version, reference Payor style)",,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Quiz Functionality,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,HCP Formulary Finder,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Add option to hide page title from individual pages.,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Ability to toggle breadcrumbs on/off from individual pages,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,PDF Functionality (to support McKesson Integration),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Consumer Coupon Design Flow (to support McKesson Integration),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,McKesson Integration (for Vouchers/Coupons),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Consumer unbranded template,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Consumer branded template,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Updates to existing Content Module (variations for HCP Sites),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Add deep linking/HTML anchors to relevant blocks,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Add contrast checker to relevant blocks,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Carousel,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Updates to existing Accordion,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Updates to existing 100vh Hero Module,,,,,mooreem,,,,,,,Duplicate,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Remove 50vh Hero Module,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,"Identification of shared functionality; move to central location.",,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Restructure codebase to work with new code versioning and deployment repo architecture.,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Fork existing codebases and merge into single codebase.,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Discovery for HCP Formulary Finder,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Discovery for Quiz Functionality,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Discovery for McKesson Coupon/Voucher capability,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Discovery for Analytics & Reporting integrations,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Modals & Overlays,,,,,mooreem,,,,,,,,,
,jackje,,,,,,,"Hey [~jackje] and [~mooreem],

We need to update the jquery version on msd.com - specifically the [worldwide location page|https://www.msd.com/contact-us/worldwide-locations/].

Additional details on the vulnerability here: https://snyk.io/test/npm/jquery/2.2.4. 

It looks like the remediation is to upgrade to 3.5.0. [~Linaults] - not sure if you have any details on the versions you use on Tridion.

I put a due date for end of next week. Let us know if that works or if you have any questions.

Thanks!

cc: [~spekathe], [~sharami9]",23/Jul/21 12:00 AM,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Critical,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,yoch,,,,,,,,,,,,,,Update Jquery on MSD.com Location Page,,,,,jackje,Linaults,yoch,,,,,,,
,mooreem,,,,,,,"Hi Emily and Pierce,

I’m putting together some case studies of solutions to common problems when migrating an existing site over to one of our WordPress themes (screenshot example attached). Do you have a few examples that you can think of that you ran into when migration sites to the Corporate theme? Anything you can share would be a big help. Thank you!",,,,,,,,,,Task,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,davdarro,,,,,,,,,,,,,,Content Migration Case Studies,,,,,davdarro,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,"Move OneTrust script insertion higher in <head>, if possible.",,,,,mooreem,yoch,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Troubleshoot content sync issues with some Customizer fields in Vivid.,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,"Products [MV.com, MC.com, Payor Portal]",,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,"Tools & Resources [MV.com, MC.com, Payor Portal]",,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,HCP Portal Homepage Template,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,HCP Portal Product Page - Interior Page Template,,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,"HCP Portal Product Page - ""Homepage"" Template",,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Product Page Template (Consumer),,,,,mooreem,,,,,,,,,
,,,,,,,,,,,,GBLDEV-176,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,mooreem,,,,,,,,,,,,,,Coupon Form Template,,,,,mooreem,,,,,,,,,
